network,station,onsetP
G,ATD,137.1
G,CAN,33.3
G,CRZF,49.35
G,INU,142.45
G,RER,133.05
G,TAM,112.5
GE,DAG,40.1
GT,LBTB,29.575000000000003
IU,BILL,29.0
IU,CASY,27.5
IU,CTAO,30.625
IU,GNI,30.299999999999997
IU,GUMO,45.125
IU,HNR,29.674999999999997
IU,KEV,30.85
IU,KIEV,30.4
IU,KMBO,30.375
IU,KONO,42.65
IU,LSZ,30.15
IU,MA2,30.049999999999997
IU,MAJO,37.275
IU,MBWA,35.675
IU,NWAO,39.075
IU,PMG,29.700000000000003
IU,TIXI,29.125
IU,YSS,30.200000000000003
PS,OGS,34.1
